Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2017-12-08,home,Charlotte,Chicago,1610612766,0021700367,51.0,-430.0,-475,-500,-540.0,-550.0,-500.0,-513.0,-475.0,-550.0,44.9,-10.5,-110,-9.5,-106,-9.5,-102,-9.5,-105,-9.5,-110,-9.5,-110,-9.67,-107.17,-9.5,-10.5,-102,-110,45.5,204.0,-110,202.5,-102,202.5,-105.0,203.0,-105,203.0,-110,202.5,-105,202.92,-106.17,204.0,202.5,-102.0,-110,111.0,-8.0,L,230.0
2017-12-08,away,Golden State,Detroit,1610612744,0021700368,54.4,-205.0,-205,-200,-220.0,-230.0,-210.0,-213.0,-200.0,-230.0,56.8,-4.5,-110,-5.5,-103,-5.0,-109,-5.5,-105,-6.0,-115,-5.5,-100,-5.33,-107.0,-4.5,-6.0,-100,-115,54.0,213.0,-110,211.5,-110,212.0,-101.0,212.0,-105,212.0,-115,211.5,-110,212.0,-108.5,213.0,211.5,-101.0,-115,102.0,4.0,W,200.0
2017-12-08,home,Detroit,Golden State,1610612765,0021700368,45.6,175.0,184,185,185.0,190.0,180.0,184.8,190.0,180.0,43.2,4.5,-110,5.5,-114,5.0,-101,5.5,-105,6.0,-105,5.5,-120,5.33,-109.17,6.0,4.5,-101,-120,46.0,213.0,-110,211.5,-100,212.0,-109.0,212.0,-105,212.0,-105,211.5,-110,212.0,-106.5,213.0,211.5,-100.0,-110,98.0,-4.0,L,200.0
2017-12-08,away,Cleveland,Indiana,1610612739,0021700369,62.7,-165.0,-161,-155,-165.0,-175.0,-165.0,-164.2,-155.0,-175.0,64.8,-3.5,-110,-3.5,-105,-3.5,-101,-3.5,-105,-4.5,-110,-3.5,-110,-3.67,-106.83,-3.5,-4.5,-101,-110,57.8,220.0,-110,221.5,-101,221.0,-105.0,221.0,-105,221.0,-110,221.0,-110,220.92,-106.83,221.5,220.0,-101.0,-110,102.0,-4.0,L,208.0
2017-12-08,home,Indiana,Cleveland,1610612754,0021700369,37.3,145.0,145,145,145.0,155.0,145.0,147.0,155.0,145.0,35.2,3.5,-110,3.5,-105,3.5,-109,3.5,-105,4.5,-110,3.5,-110,3.67,-108.17,4.5,3.5,-105,-110,42.2,220.0,-110,221.5,-109,221.0,-105.0,221.0,-105,221.0,-110,221.0,-110,220.92,-108.17,221.5,220.0,-105.0,-110,106.0,4.0,W,208.0
2017-12-08,away,Denver,Orlando,1610612743,0021700370,43.1,105.0,121,115,110.0,115.0,110.0,114.2,121.0,110.0,48.3,2.0,-110,2.0,-100,2.0,-108,2.0,-105,2.5,-110,1.5,-105,2.0,-106.33,2.5,1.5,-100,-110,56.8,218.5,-110,217.5,-108,218.0,-105.0,218.0,-105,217.0,-115,218.0,-110,217.83,-108.83,218.5,217.0,-105.0,-115,103.0,14.0,W,192.0
2017-12-08,home,Orlando,Denver,1610612753,0021700370,56.9,-125.0,-134,-125,-130.0,-135.0,-130.0,-130.8,-125.0,-135.0,51.7,-2.0,-110,-2.0,-110,-2.0,-102,-2.0,-105,-2.5,-110,-1.5,-115,-2.0,-108.67,-1.5,-2.5,-102,-115,43.2,218.5,-110,217.5,-102,218.0,-105.0,218.0,-105,217.0,-105,218.0,-110,217.83,-106.17,218.5,217.0,-102.0,-110,89.0,-14.0,L,192.0
2017-12-08,away,Toronto,Memphis,1610612761,0021700371,62.6,-245.0,-213,-210,-225.0,-245.0,-220.0,-222.6,-210.0,-245.0,62.3,-5.0,-110,-5.5,-100,-5.5,-102,-5.5,-105,-6.0,-110,-5.5,-110,-5.5,-106.17,-5.0,-6.0,-100,-110,42.9,198.0,-110,202.0,-105,201.5,-105.0,202.0,-105,202.0,-115,201.5,-105,201.17,-107.5,202.0,198.0,-105.0,-115,116.0,9.0,W,223.0
2017-12-08,home,Memphis,Toronto,1610612763,0021700371,37.4,205.0,191,190,190.0,205.0,190.0,193.2,205.0,190.0,37.7,5.0,-110,5.5,-110,5.5,-108,5.5,-105,6.0,-110,5.5,-110,5.5,-108.83,6.0,5.0,-105,-110,57.1,198.0,-110,202.0,-105,201.5,-105.0,202.0,-105,202.0,-105,201.5,-115,201.17,-107.5,202.0,198.0,-105.0,-115,107.0,-9.0,L,223.0
2017-12-08,away,Dallas,Milwaukee,1610612742,0021700372,36.1,215.0,248,248,245.0,255.0,230.0,245.2,255.0,230.0,44.7,7.0,-110,7.0,-110,7.0,-109,7.0,-105,7.0,-110,6.5,-107,6.92,-108.5,7.0,6.5,-105,-110,47.8,205.0,-110,201.5,-102,202.0,-102.0,202.0,-105,202.0,-110,201.0,-105,202.25,-105.67,205.0,201.0,-102.0,-110,102.0,-7.0,L,211.0
