Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2019-04-14,home,Portland,Oklahoma City,1610612757,0041800161,34.2,-150.0,-155.0,-150.0,-150.0,-140.0,-149.0,-148.8,-140.0,-155.0,42.3,-4.0,-110.0,-3.0,-116.0,-3.0,-109.0,-3.5,-105.0,-3.0,-105.0,-3.0,-113.0,-3.25,-109.67,-3.0,-4.0,-105.0,-116.0,42.3,224.0,-110.0,223.5,-113.0,223.5,-103.0,225.0,-105.0,225.0,-110.0,224.0,-110.0,224.17,-108.5,225.0,223.5,-103.0,-113.0,104,5,W,203
2019-04-14,away,Utah,Houston,1610612762,0041800171,44.8,207.0,232.0,235.0,230.0,240.0,225.0,232.4,240.0,225.0,47.4,5.5,-110.0,6.5,-108.0,6.5,-109.0,6.5,-105.0,7.0,-115.0,6.5,-117.0,6.42,-110.67,7.0,5.5,-105.0,-117.0,48.4,219.0,-110.0,212.5,-105.0,212.5,-105.0,213.0,-105.0,213.5,-105.0,212.5,-114.0,213.83,-107.33,219.0,212.5,-105.0,-114.0,90,-32,L,212
2019-04-14,home,Houston,Utah,1610612745,0041800171,55.2,-250.0,-261.0,-255.0,-280.0,-290.0,-265.0,-270.2,-255.0,-290.0,52.6,-5.5,-110.0,-6.5,-102.0,-6.5,-101.0,-6.5,-105.0,-7.0,-105.0,-6.5,-103.0,-6.42,-104.33,-5.5,-7.0,-101.0,-110.0,51.6,219.0,-110.0,212.5,-105.0,212.5,-105.0,213.0,-105.0,213.5,-115.0,212.5,-106.0,213.83,-107.67,219.0,212.5,-105.0,-115.0,122,32,W,212
2019-04-15,away,Brooklyn,Philadelphia,1610612751,0041800122,48.9,263.0,338.0,340.0,340.0,325.0,330.0,334.6,340.0,325.0,52.4,7.5,-110.0,8.5,-102.0,8.5,-102.0,8.5,-105.0,8.5,-105.0,8.5,-110.0,8.33,-105.67,8.5,7.5,-102.0,-110.0,48.8,226.0,-110.0,224.0,-101.0,224.5,-102.0,224.0,-105.0,224.5,-110.0,224.0,-110.0,224.5,-106.33,226.0,224.0,-101.0,-110.0,123,-22,L,268
2019-04-15,home,Philadelphia,Brooklyn,1610612755,0041800122,51.1,-325.0,-390.0,-380.0,-430.0,-450.0,-400.0,-410.0,-380.0,-450.0,47.6,-7.5,-110.0,-8.5,-108.0,-8.5,-108.0,-8.5,-105.0,-8.5,-115.0,-8.5,-110.0,-8.33,-109.33,-7.5,-8.5,-105.0,-115.0,51.2,226.0,-110.0,224.0,-109.0,224.5,-108.0,224.0,-105.0,224.5,-110.0,224.0,-110.0,224.5,-108.67,226.0,224.0,-105.0,-110.0,145,22,W,268
2019-04-15,away,L.A. Clippers,Golden State,1610612746,0041800142,50.6,1041.0,1041.0,1050.0,1010.0,775.0,,969.0,1050.0,775.0,49.0,14.5,-110.0,13.5,-104.0,13.5,-105.0,14.0,-105.0,14.0,-105.0,13.5,-110.0,13.83,-106.5,14.5,13.5,-104.0,-110.0,53.3,230.5,-110.0,234.0,-110.0,234.0,-105.0,,,234.0,-110.0,,,233.12,-108.75,234.0,230.5,-105.0,-110.0,135,4,W,266
2019-04-15,home,Golden State,L.A. Clippers,1610612744,0041800142,49.4,-2000.0,-1481.0,-1300.0,-1460.0,-1500.0,,-1435.25,-1300.0,-1500.0,51.0,-14.5,-110.0,-13.5,-106.0,-13.5,-105.0,-14.0,-105.0,-14.0,-115.0,-13.5,-110.0,-13.83,-108.5,-13.5,-14.5,-105.0,-115.0,46.7,230.5,-110.0,234.0,-100.0,234.0,-105.0,,,234.0,-110.0,,,233.12,-106.25,234.0,230.5,-100.0,-110.0,131,-4,L,266
2019-04-16,away,Orlando,Toronto,1610612753,0041800112,48.3,410.0,555.0,538.0,562.0,450.0,530.0,527.0,562.0,450.0,45.8,8.5,-105.0,11.0,-104.0,10.5,-109.0,11.0,-105.0,11.0,-105.0,11.0,-113.0,10.5,-106.83,11.0,8.5,-104.0,-113.0,64.2,210.5,-110.0,212.5,-103.0,212.5,-105.0,213.0,-105.0,213.0,-105.0,212.5,-112.0,212.33,-106.67,213.0,210.5,-103.0,-112.0,82,-29,L,193
2019-04-16,home,Toronto,Orlando,1610612761,0041800112,51.7,-540.0,-680.0,-655.0,-737.0,-700.0,-680.0,-690.4,-655.0,-737.0,54.2,-8.5,-115.0,-11.0,-106.0,-10.5,-101.0,-11.0,-105.0,-11.0,-115.0,-11.0,-107.0,-10.5,-108.17,-8.5,-11.0,-101.0,-115.0,35.8,210.5,-110.0,212.5,-107.0,212.5,-105.0,213.0,-105.0,213.0,-115.0,212.5,-108.0,212.33,-108.33,213.0,210.5,-105.0,-115.0,111,29,W,193
2019-04-16,away,San Antonio,Denver,1610612759,0041800152,50.3,195.0,252.0,250.0,242.0,,250.0,248.5,252.0,242.0,50.0,5.5,-105.0,7.0,-102.0,6.5,-108.0,7.5,-105.0,7.0,-105.0,7.0,-105.0,6.75,-105.0,7.5,5.5,-102.0,-108.0,94.4,208.5,-110.0,210.0,-108.0,210.0,-108.0,211.0,-105.0,210.5,-115.0,210.5,-110.0,210.08,-109.33,211.0,208.5,-105.0,-115.0,105,-9,L,219
