ml_winnings,spread_winnings,total_winnings,book,game_id,season,date,agg_winnings,day
-25.00,22.52,-25.00,Opening,1386986,20-21,2021-05-13 19:30:00,-27.48,2021-05-13
-25.00,22.93,-25.00,best,1386986,20-21,2021-05-13 19:30:00,-27.07,2021-05-13
-25.00,21.74,-25.00,worst,1386986,20-21,2021-05-13 19:30:00,-28.26,2021-05-13
-25.00,22.36,-25.00,average,1386986,20-21,2021-05-13 19:30:00,-27.64,2021-05-13
-25.00,-25.00,22.73,BOVADA,1386581,20-21,2021-05-15 13:00:00,-27.27,2021-05-15
-25.00,-25.00,22.93,GTBets,1386581,20-21,2021-05-15 13:00:00,-27.07,2021-05-15
-25.00,-25.00,22.73,MyBookie,1386581,20-21,2021-05-15 13:00:00,-27.27,2021-05-15
-25.00,-25.00,22.73,BetNow,1386581,20-21,2021-05-15 13:00:00,-27.27,2021-05-15
-25.00,-25.00,23.15,SportsBetting,1386581,20-21,2021-05-15 13:00:00,-26.85,2021-05-15
-25.00,-25.00,22.73,Intertops,1386581,20-21,2021-05-15 13:00:00,-27.27,2021-05-15
-25.00,-25.00,23.15,BetOnline,1386581,20-21,2021-05-15 13:00:00,-26.85,2021-05-15
-25.00,-25.00,22.73,Opening,1386581,20-21,2021-05-15 13:00:00,-27.27,2021-05-15
-25.00,-25.00,23.15,best,1386581,20-21,2021-05-15 13:00:00,-26.85,2021-05-15
-25.00,-25.00,22.73,worst,1386581,20-21,2021-05-15 13:00:00,-27.27,2021-05-15
-25.00,-25.00,22.86,average,1386581,20-21,2021-05-15 13:00:00,-27.14,2021-05-15
-25.00,22.73,-25.00,BOVADA,1386616,20-21,2021-05-16 13:00:00,-27.27,2021-05-16
-25.00,22.93,-25.00,GTBets,1386616,20-21,2021-05-16 13:00:00,-27.07,2021-05-16
-25.00,23.81,-25.00,MyBookie,1386616,20-21,2021-05-16 13:00:00,-26.19,2021-05-16
-25.00,22.73,-25.00,BetNow,1386616,20-21,2021-05-16 13:00:00,-27.27,2021-05-16
-25.00,23.15,-25.00,SportsBetting,1386616,20-21,2021-05-16 13:00:00,-26.85,2021-05-16
-25.00,23.81,-25.00,Intertops,1386616,20-21,2021-05-16 13:00:00,-26.19,2021-05-16
-25.00,23.15,-25.00,BetOnline,1386616,20-21,2021-05-16 13:00:00,-26.85,2021-05-16
-25.00,22.52,-25.00,Opening,1386616,20-21,2021-05-16 13:00:00,-27.48,2021-05-16
-25.00,23.81,-25.00,best,1386616,20-21,2021-05-16 13:00:00,-26.19,2021-05-16
-25.00,22.52,-25.00,worst,1386616,20-21,2021-05-16 13:00:00,-27.48,2021-05-16
-25.00,23.10,-25.00,average,1386616,20-21,2021-05-16 13:00:00,-26.90,2021-05-16
-25.00,-25.00,-25.00,BOVADA,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,-25.00,GTBets,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,-25.00,MyBookie,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,-25.00,BetNow,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,-25.00,SportsBetting,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,-25.00,Intertops,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,-25.00,BetOnline,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,22.73,Opening,1385936,20-21,2021-04-28 19:30:00,-27.27,2021-04-28
-25.00,-25.00,-25.00,best,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
-25.00,-25.00,21.74,worst,1385936,20-21,2021-04-28 19:30:00,-28.26,2021-04-28
-25.00,-25.00,-25.00,average,1385936,20-21,2021-04-28 19:30:00,-75.00,2021-04-28
23.81,22.73,-25.00,BOVADA,1413081,20-21,2021-06-02 19:30:00,21.54,2021-06-02
23.81,22.93,-25.00,GTBets,1413081,20-21,2021-06-02 19:30:00,21.75,2021-06-02
25.00,22.73,-25.00,MyBookie,1413081,20-21,2021-06-02 19:30:00,22.73,2021-06-02
25.00,22.73,-25.00,BetNow,1413081,20-21,2021-06-02 19:30:00,22.73,2021-06-02
23.81,22.32,-25.00,SportsBetting,1413081,20-21,2021-06-02 19:30:00,21.13,2021-06-02
23.81,22.73,-25.00,Intertops,1413081,20-21,2021-06-02 19:30:00,21.54,2021-06-02
23.81,22.32,-25.00,BetOnline,1413081,20-21,2021-06-02 19:30:00,21.13,2021-06-02
3.12,22.73,-25.00,Opening,1413081,20-21,2021-06-02 19:30:00,0.85,2021-06-02
25.00,22.93,-25.00,best,1413081,20-21,2021-06-02 19:30:00,22.94,2021-06-02
3.12,22.32,-25.00,worst,1413081,20-21,2021-06-02 19:30:00,0.45,2021-06-02
21.52,22.65,-25.00,average,1413081,20-21,2021-06-02 19:30:00,19.17,2021-06-02
-25.00,-25.00,23.81,BOVADA,1412976,20-21,2021-05-24 22:00:00,-26.19,2021-05-24
-25.00,-25.00,22.93,GTBets,1412976,20-21,2021-05-24 22:00:00,-27.07,2021-05-24
-25.00,-25.00,22.73,MyBookie,1412976,20-21,2021-05-24 22:00:00,-27.27,2021-05-24
-25.00,-25.00,22.73,BetNow,1412976,20-21,2021-05-24 22:00:00,-27.27,2021-05-24
-25.00,-25.00,22.73,SportsBetting,1412976,20-21,2021-05-24 22:00:00,-27.27,2021-05-24
-25.00,-25.00,22.73,Intertops,1412976,20-21,2021-05-24 22:00:00,-27.27,2021-05-24
-25.00,-25.00,22.73,BetOnline,1412976,20-21,2021-05-24 22:00:00,-27.27,2021-05-24
-25.00,-25.00,-25.00,Opening,1412976,20-21,2021-05-24 22:00:00,-75.00,2021-05-24
-25.00,-25.00,-25.00,best,1412976,20-21,2021-05-24 22:00:00,-75.00,2021-05-24
-25.00,-25.00,22.73,worst,1412976,20-21,2021-05-24 22:00:00,-27.27,2021-05-24
-25.00,-25.00,22.89,average,1412976,20-21,2021-05-24 22:00:00,-27.11,2021-05-24
-25.00,23.81,-25.00,BOVADA,1415406,20-21,2021-06-11 22:00:00,-26.19,2021-06-11
-25.00,22.93,-25.00,GTBets,1415406,20-21,2021-06-11 22:00:00,-27.07,2021-06-11
-25.00,22.73,-25.00,MyBookie,1415406,20-21,2021-06-11 22:00:00,-27.27,2021-06-11
-25.00,22.73,-25.00,BetNow,1415406,20-21,2021-06-11 22:00:00,-27.27,2021-06-11
-25.00,23.81,-25.00,SportsBetting,1415406,20-21,2021-06-11 22:00:00,-26.19,2021-06-11
-25.00,22.73,-25.00,Intertops,1415406,20-21,2021-06-11 22:00:00,-27.27,2021-06-11
