abbv,efg_pct,orb_pct,tov_pct,fta_per_fga_pct,game_possessions,pts,game_code,date,season
MIL,0.48,0.273,0.11,0.413,85.64575757575759,94,201905250TOR,2019-05-25 20:30:00,18-19
TOR,0.568,0.167,0.107,0.297,85.64575757575759,100,201905250TOR,2019-05-25 20:30:00,18-19
TOR,0.474,0.229,0.106,0.299,107.4243318089431,116,201811160BOS,2018-11-16 19:00:00,18-19
BOS,0.579,0.22,0.153,0.27,107.4243318089431,123,201811160BOS,2018-11-16 19:00:00,18-19
BOS,0.57,0.136,0.117,0.129,102.52441699604742,116,201901070BOS,2019-01-07 19:30:00,18-19
BRK,0.475,0.196,0.206,0.278,102.52441699604742,95,201901070BOS,2019-01-07 19:30:00,18-19
BOS,0.535,0.205,0.149,0.165,96.44599025974026,103,201812190BOS,2018-12-19 19:30:00,18-19
PHO,0.484,0.429,0.139,0.229,96.44599025974026,111,201812190BOS,2018-12-19 19:30:00,18-19
PHI,0.461,0.25,0.179,0.342,94.27825471698114,94,201904290TOR,2019-04-29 20:00:00,18-19
TOR,0.418,0.17,0.084,0.165,94.27825471698114,89,201904290TOR,2019-04-29 20:00:00,18-19
MIL,0.531,0.171,0.116,0.325,95.94906125921725,102,201905210TOR,2019-05-21 20:30:00,18-19
TOR,0.552,0.233,0.1,0.31,95.94906125921725,120,201905210TOR,2019-05-21 20:30:00,18-19
ATL,0.512,0.32,0.193,0.372,106.5279268292683,108,201812140BOS,2018-12-14 19:00:00,18-19
BOS,0.584,0.317,0.168,0.211,106.5279268292683,129,201812140BOS,2018-12-14 19:00:00,18-19
MIL,0.613,0.289,0.178,0.35,99.67258440913605,120,201812210BOS,2018-12-21 20:00:00,18-19
BOS,0.44,0.17,0.045,0.396,99.67258440913605,107,201812210BOS,2018-12-21 20:00:00,18-19
CHI,0.435,0.14,0.2,0.107,101.00009999999999,82,201811140BOS,2018-11-14 19:30:00,18-19
BOS,0.55,0.167,0.119,0.156,101.00009999999999,111,201811140BOS,2018-11-14 19:30:00,18-19
TOR,0.585,0.158,0.094,0.402,99.05088575096278,125,201905070TOR,2019-05-07 20:00:00,18-19
PHI,0.456,0.122,0.178,0.253,99.05088575096278,89,201905070TOR,2019-05-07 20:00:00,18-19
BOS,0.49,0.226,0.119,0.144,104.26569503273006,105,201810160BOS,2018-10-16 20:00:00,18-19
PHI,0.42,0.122,0.141,0.264,104.26569503273006,87,201810160BOS,2018-10-16 20:00:00,18-19
TOR,0.431,0.294,0.125,0.277,99.98517647058824,104,201906020TOR,2019-06-02 20:00:00,18-19
GSW,0.543,0.15,0.14,0.28,99.98517647058824,109,201906020TOR,2019-06-02 20:00:00,18-19
BOS,0.625,0.308,0.092,0.174,93.97824300699301,128,201811300BOS,2018-11-30 19:00:00,18-19
CLE,0.435,0.205,0.123,0.455,93.97824300699301,95,201811300BOS,2018-11-30 19:00:00,18-19
TOR,0.54,0.085,0.1,0.31,104.62755899419729,117,201904070TOR,2019-04-07 12:00:00,18-19
MIA,0.475,0.218,0.092,0.19,104.62755899419729,109,201904070TOR,2019-04-07 12:00:00,18-19
BOS,0.576,0.178,0.109,0.141,100.76552380952381,117,201811010BOS,2018-11-01 20:00:00,18-19
MIL,0.535,0.19,0.125,0.353,100.76552380952381,113,201811010BOS,2018-11-01 20:00:00,18-19
BOS,0.443,0.273,0.067,0.33,101.7669318181818,109,201811210BOS,2018-11-21 19:30:00,18-19
NYK,0.579,0.205,0.15,0.191,101.7669318181818,117,201811210BOS,2018-11-21 19:30:00,18-19
BOS,0.671,0.103,0.162,0.197,95.52852087114337,115,201901020BOS,2019-01-02 20:00:00,18-19
MIN,0.518,0.211,0.131,0.25,95.52852087114337,102,201901020BOS,2019-01-02 20:00:00,18-19
BOS,0.576,0.333,0.125,0.141,94.8009523809524,117,201901160BOS,2019-01-16 20:00:00,18-19
TOR,0.484,0.286,0.09,0.228,94.8009523809524,108,201901160BOS,2019-01-16 20:00:00,18-19
TOR,0.523,0.136,0.113,0.159,97.90226345083488,101,201904130TOR,2019-04-13 17:00:00,18-19
ORL,0.478,0.204,0.1,0.222,97.90226345083488,104,201904130TOR,2019-04-13 17:00:00,18-19
BOS,0.494,0.17,0.125,0.381,102.89479591836735,108,201810300BOS,2018-10-30 19:30:00,18-19
DET,0.466,0.224,0.145,0.307,102.89479591836735,105,201810300BOS,2018-10-30 19:30:00,18-19
BOS,0.412,0.304,0.123,0.22,94.87731707317073,86,201811170BOS,2018-11-17 19:30:00,18-19
UTA,0.519,0.171,0.135,0.346,94.87731707317073,98,201811170BOS,2018-11-17 19:30:00,18-19
PHI,0.5,0.132,0.161,0.462,87.64154858299595,90,201905120TOR,2019-05-12 19:00:00,18-19
TOR,0.421,0.308,0.093,0.213,87.64154858299595,92,201905120TOR,2019-05-12 19:00:00,18-19
TOR,0.494,0.295,0.118,0.318,94.34746212121212,105,201906100TOR,2019-06-10 21:00:00,18-19
GSW,0.585,0.167,0.145,0.171,94.34746212121212,106,201906100TOR,2019-06-10 21:00:00,18-19
BOS,0.61,0.25,0.151,0.256,99.9675,122,201901180BOS,2019-01-18 19:00:00,18-19
MEM,0.533,0.176,0.082,0.217,99.9675,116,201901180BOS,2019-01-18 19:00:00,18-19
BOS,0.593,0.237,0.127,0.267,98.87986842105263,123,201901230BOS,2019-01-23 19:30:00,18-19
CLE,0.511,0.306,0.173,0.23,98.87986842105263,103,201901230BOS,2019-01-23 19:30:00,18-19
BOS,0.563,0.222,0.172,0.115,98.82941520467836,107,201901210BOS,2019-01-21 18:00:00,18-19
MIA,0.483,0.263,0.168,0.209,98.82941520467836,99,201901210BOS,2019-01-21 18:00:00,18-19
PHI,0.5,0.244,0.128,0.265,107.53800000000001,121,201811210PHI,2018-11-21 19:00:00,18-19
NOP,0.485,0.357,0.118,0.337,107.53800000000001,120,201811210PHI,2018-11-21 19:00:00,18-19
LAC,0.494,0.195,0.152,0.384,106.73131374722838,113,201811010PHI,2018-11-01 19:00:00,18-19
PHI,0.543,0.227,0.117,0.301,106.73131374722838,122,201811010PHI,2018-11-01 19:00:00,18-19
LAL,0.629,0.213,0.071,0.186,99.33,129,201902070BOS,2019-02-07 20:00:00,18-19
BOS,0.574,0.25,0.072,0.213,99.33,128,201902070BOS,2019-02-07 20:00:00,18-19
BOS,0.49,0.263,0.117,0.152,100.618432748538,111,201901260BOS,2019-01-26 20:30:00,18-19
GSW,0.518,0.244,0.125,0.41,100.618432748538,115,201901260BOS,2019-01-26 20:30:00,18-19
CLE,0.586,0.341,0.074,0.172,91.02132621951219,121,201811230PHI,2018-11-23 19:30:00,18-19
PHI,0.613,0.125,0.104,0.347,91.02132621951219,112,201811230PHI,2018-11-23 19:30:00,18-19
BOS,0.552,0.204,0.107,0.268,108.03598367346939,126,201903140BOS,2019-03-14 19:30:00,18-19
SAC,0.563,0.16,0.087,0.242,108.03598367346939,120,201903140BOS,2019-03-14 19:30:00,18-19
PHI,0.44,0.264,0.095,0.33,100.41015538290787,105,201810270PHI,2018-10-27 19:30:00,18-19
CHO,0.437,0.176,0.079,0.253,100.41015538290787,103,201810270PHI,2018-10-27 19:30:00,18-19
PHI,0.485,0.302,0.151,0.182,105.49021145087833,113,201810290PHI,2018-10-29 19:00:00,18-19
ATL,0.415,0.172,0.112,0.223,105.49021145087833,92,201810290PHI,2018-10-29 19:00:00,18-19
POR,0.456,0.283,0.1,0.222,95.05922143579373,97,201902270BOS,2019-02-27 20:00:00,18-19
BOS,0.494,0.186,0.15,0.116,95.05922143579373,92,201902270BOS,2019-02-27 20:00:00,18-19
PHI,0.569,0.271,0.092,0.106,95.49138076241135,116,201810200PHI,2018-10-20 19:30:00,18-19
ORL,0.544,0.298,0.123,0.244,95.49138076241135,115,201810200PHI,2018-10-20 19:30:00,18-19
BOS,0.429,0.175,0.164,0.286,94.78184868421053,84,201904140BOS,2019-04-14 13:00:00,18-19
IND,0.369,0.158,0.122,0.25,94.78184868421053,74,201904140BOS,2019-04-14 13:00:00,18-19
BOS,0.473,0.157,0.102,0.337,108.96750569995442,112,201902090BOS,2019-02-09 20:00:00,18-19
LAC,0.548,0.14,0.143,0.476,108.96750569995442,123,201902090BOS,2019-02-09 20:00:00,18-19
BOS,0.542,0.179,0.137,0.107,92.43487179487178,99,201904170BOS,2019-04-17 19:00:00,18-19
IND,0.525,0.089,0.114,0.123,92.43487179487178,91,201904170BOS,2019-04-17 19:00:00,18-19
MIL,0.48,0.208,0.067,0.25,104.2885534591195,113,201905060BOS,2019-05-06 19:00:00,18-19
BOS,0.428,0.167,0.096,0.333,104.2885534591195,101,201905060BOS,2019-05-06 19:00:00,18-19
IND,0.533,0.28,0.107,0.256,97.18342352941175,112,201903290BOS,2019-03-29 19:00:00,18-19
BOS,0.587,0.206,0.13,0.198,97.18342352941175,114,201903290BOS,2019-03-29 19:00:00,18-19
BOS,0.531,0.14,0.152,0.395,104.75393540051681,116,201905030BOS,2019-05-03 20:00:00,18-19
MIL,0.596,0.156,0.132,0.434,104.75393540051681,123,201905030BOS,2019-05-03 20:00:00,18-19
DET,0.506,0.213,0.1,0.405,98.22519460300987,110,201902130BOS,2019-02-13 19:30:00,18-19
BOS,0.602,0.244,0.145,0.17,98.22519460300987,118,201902130BOS,2019-02-13 19:30:00,18-19
NYK,0.38,0.208,0.113,0.239,100.43247269116188,91,201811280PHI,2018-11-28 19:00:00,18-19
PHI,0.609,0.211,0.145,0.184,100.43247269116188,117,201811280PHI,2018-11-28 19:00:00,18-19
BRK,0.608,0.206,0.147,0.581,101.35095588235293,127,201812120PHI,2018-12-12 19:00:00,18-19
PHI,0.615,0.25,0.148,0.176,101.35095588235293,124,201812120PHI,2018-12-12 19:00:00,18-19
BOS,0.532,0.2,0.127,0.377,93.43521739130435,104,201903030BOS,2019-03-03 15:30:00,18-19
HOU,0.606,0.217,0.115,0.363,93.43521739130435,115,201903030BOS,2019-03-03 15:30:00,18-19
OKC,0.565,0.25,0.093,0.37,105.16444444444443,129,201902030BOS,2019-02-03 14:00:00,18-19
BOS,0.665,0.139,0.124,0.187,105.16444444444443,134,201902030BOS,2019-02-03 14:00:00,18-19
BOS,0.489,0.264,0.106,0.264,98.37463121783875,110,201904010BOS,2019-04-01 19:30:00,18-19
MIA,0.511,0.205,0.135,0.205,98.37463121783875,105,201904010BOS,2019-04-01 19:30:00,18-19
DET,0.542,0.238,0.139,0.25,97.65646520146521,102,201812100PHI,2018-12-10 19:00:00,18-19
PHI,0.528,0.308,0.112,0.398,97.65646520146521,116,201812100PHI,2018-12-10 19:00:00,18-19
PHI,0.541,0.086,0.155,0.405,98.67947402597403,103,201812020PHI,2018-12-02 18:00:00,18-19
MEM,0.487,0.068,0.136,0.291,98.67947402597403,95,201812020PHI,2018-12-02 18:00:00,18-19
BOS,0.539,0.15,0.12,0.157,99.8745,108,201904070BOS,2019-04-07 19:30:00,18-19
ORL,0.522,0.25,0.123,0.244,99.8745,116,201904070BOS,2019-04-07 19:30:00,18-19
ATL,0.505,0.352,0.133,0.24,106.60444444444444,120,201903160BOS,2019-03-16 12:30:00,18-19
BOS,0.543,0.262,0.114,0.398,106.60444444444444,129,201903160BOS,2019-03-16 12:30:00,18-19
CHO,0.464,0.233,0.03,0.364,112.73627083333334,132,201811090PHI,2018-11-09 19:00:00,18-19
PHI,0.543,0.271,0.125,0.436,112.73627083333334,133,201811090PHI,2018-11-09 19:00:00,18-19
BOS,0.5,0.208,0.106,0.181,101.14549425758818,107,201903010BOS,2019-03-01 20:00:00,18-19
WAS,0.461,0.239,0.156,0.213,101.14549425758818,96,201903010BOS,2019-03-01 20:00:00,18-19
DET,0.428,0.143,0.144,0.494,105.93344642857144,99,201811030PHI,2018-11-03 13:00:00,18-19
PHI,0.471,0.075,0.157,0.739,105.93344642857144,109,201811030PHI,2018-11-03 13:00:00,18-19
UTA,0.489,0.244,0.111,0.42,101.67989368355222,107,201811160PHI,2018-11-16 19:00:00,18-19
PHI,0.574,0.256,0.152,0.395,101.67989368355222,113,201811160PHI,2018-11-16 19:00:00,18-19
PHO,0.58,0.111,0.118,0.276,104.47555555555556,114,201811190PHI,2018-11-19 19:00:00,18-19
PHI,0.524,0.333,0.156,0.5,104.47555555555556,119,201811190PHI,2018-11-19 19:00:00,18-19
SAS,0.551,0.244,0.073,0.082,96.06070588235295,115,201903240BOS,2019-03-24 19:30:00,18-19
BOS,0.441,0.216,0.073,0.17,96.06070588235295,96,201903240BOS,2019-03-24 19:30:00,18-19
BOS,0.622,0.333,0.093,0.178,94.06562500000001,126,201901300BOS,2019-01-30 19:30:00,18-19
CHO,0.511,0.146,0.115,0.079,94.06562500000001,94,201901300BOS,2019-01-30 19:30:00,18-19
BRK,0.442,0.308,0.134,0.155,103.35628205128205,104,201901280BOS,2019-01-28 19:30:00,18-19
BOS,0.515,0.333,0.14,0.1,103.35628205128205,112,201901280BOS,2019-01-28 19:30:00,18-19
WAS,0.446,0.163,0.13,0.207,104.2875850340136,98,201811300PHI,2018-11-30 19:00:00,18-19
PHI,0.5,0.333,0.096,0.337,104.2875850340136,123,201811300PHI,2018-11-30 19:00:00,18-19
CHI,0.49,0.102,0.101,0.119,108.38015419501133,108,201810180PHI,2018-10-18 20:00:00,18-19
PHI,0.538,0.244,0.109,0.323,108.38015419501133,127,201810180PHI,2018-10-18 20:00:00,18-19
PHI,0.619,0.225,0.083,0.284,99.48505978260869,131,201812190PHI,2018-12-19 19:00:00,18-19
NYK,0.488,0.087,0.074,0.36,99.48505978260869,109,201812190PHI,2018-12-19 19:00:00,18-19
TOR,0.522,0.341,0.088,0.36,96.08529829545455,119,201902050PHI,2019-02-05 20:00:00,18-19
PHI,0.493,0.156,0.17,0.586,96.08529829545455,107,201902050PHI,2019-02-05 20:00:00,18-19
PHI,0.506,0.167,0.093,0.398,100.46166666666667,106,201901050PHI,2019-01-05 19:30:00,18-19
DAL,0.483,0.18,0.133,0.261,100.46166666666667,100,201901050PHI,2019-01-05 19:30:00,18-19
TOR,0.442,0.14,0.127,0.2,107.18923660502608,101,201812220PHI,2018-12-22 19:30:00,18-19
PHI,0.588,0.108,0.099,0.412,107.18923660502608,126,201812220PHI,2018-12-22 19:30:00,18-19
PHI,0.653,0.317,0.161,0.284,102.87426829268293,132,201901080PHI,2019-01-08 19:00:00,18-19
WAS,0.583,0.143,0.146,0.25,102.87426829268293,115,201901080PHI,2019-01-08 19:00:00,18-19
POR,0.52,0.422,0.09,0.293,99.99518970189702,130,201902230PHI,2019-02-23 13:00:00,18-19
PHI,0.534,0.171,0.1,0.322,99.99518970189702,115,201902230PHI,2019-02-23 13:00:00,18-19
ATL,0.63,0.441,0.184,0.333,98.12369117647059,123,201901110PHI,2019-01-11 19:00:00,18-19
PHI,0.58,0.275,0.132,0.31,98.12369117647059,121,201901110PHI,2019-01-11 19:00:00,18-19
PHI,0.712,0.242,0.129,0.228,105.58621212121213,149,201901150PHI,2019-01-15 19:00:00,18-19
MIN,0.433,0.164,0.095,0.389,105.58621212121213,107,201901150PHI,2019-01-15 19:00:00,18-19
ORL,0.522,0.2,0.109,0.129,97.92822727272727,106,201903050PHI,2019-03-05 19:00:00,18-19
PHI,0.534,0.227,0.101,0.236,97.92822727272727,114,201903050PHI,2019-03-05 19:00:00,18-19
PHI,0.439,0.321,0.068,0.478,97.38486953030912,118,201903200PHI,2019-03-20 19:00:00,18-19
BOS,0.531,0.213,0.072,0.167,97.38486953030912,115,201903200PHI,2019-03-20 19:00:00,18-19
PHI,0.537,0.261,0.148,0.481,100.84608695652173,115,201901190PHI,2019-01-19 15:30:00,18-19
OKC,0.505,0.239,0.087,0.28,100.84608695652173,117,201901190PHI,2019-01-19 15:30:00,18-19
PHI,0.494,0.267,0.133,0.427,98.99076086956521,106,201902210PHI,2019-02-21 19:00:00,18-19
MIA,0.511,0.152,0.083,0.128,98.99076086956521,102,201902210PHI,2019-02-21 19:00:00,18-19
PHI,0.624,0.231,0.057,0.161,96.315736497545,125,201904100PHI,2019-04-10 20:00:00,18-19
CHI,0.521,0.191,0.064,0.158,96.315736497545,109,201904100PHI,2019-04-10 20:00:00,18-19
PHI,0.544,0.25,0.089,0.297,100.1128826530612,123,201903150PHI,2019-03-15 19:00:00,18-19
SAC,0.505,0.204,0.071,0.255,100.1128826530612,114,201903150PHI,2019-03-15 19:00:00,18-19
PHI,0.567,0.209,0.081,0.311,102.10040821375557,123,201903280PHI,2019-03-28 19:00:00,18-19
BRK,0.506,0.234,0.127,0.322,102.10040821375557,110,201903280PHI,2019-03-28 19:00:00,18-19
