team,pts,game_possessions,game_code,home_team_bin,efg_pct,tov_pct,orb_pct,fta_per_fga_pct,Model_Prediction,Best_Spread,Best_Moneyline,Best_Total,Spread_Grade,Total_Grade,Moneyline_Grade,Best_Book,date
BOS,128,93.97824301,201811300BOS,1,0.625,0.092,0.308,0.174,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/30/2018
MIA,109,104.627559,201904070TOR,0,0.475,0.092,0.218,0.19,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/7/2019
TOR,117,104.627559,201904070TOR,1,0.54,0.1,0.085,0.31,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/7/2019
MIL,113,100.7655238,201811010BOS,0,0.535,0.125,0.19,0.353,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/1/2018
BOS,117,100.7655238,201811010BOS,1,0.576,0.109,0.178,0.141,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/1/2018
NYK,117,101.7669318,201811210BOS,0,0.579,0.15,0.205,0.191,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/21/2018
BOS,109,101.7669318,201811210BOS,1,0.443,0.067,0.273,0.33,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/21/2018
MIN,102,95.52852087,201901020BOS,0,0.518,0.131,0.211,0.25,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/2/2019
BOS,115,95.52852087,201901020BOS,1,0.671,0.162,0.103,0.197,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/2/2019
TOR,108,94.80095238,201901160BOS,0,0.484,0.09,0.286,0.228,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/16/2019
BOS,117,94.80095238,201901160BOS,1,0.576,0.125,0.333,0.141,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,1/16/2019
ORL,104,97.90226345,201904130TOR,0,0.478,0.1,0.204,0.222,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/13/2019
TOR,101,97.90226345,201904130TOR,1,0.523,0.113,0.136,0.159,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,4/13/2019
DET,105,102.8947959,201810300BOS,0,0.466,0.145,0.224,0.307,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/30/2018
BOS,108,102.8947959,201810300BOS,1,0.494,0.125,0.17,0.381,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,10/30/2018
UTA,98,94.87731707,201811170BOS,0,0.519,0.135,0.171,0.346,222,-12,-100,223.5,WIN,PUSH,LOSS,BetOnline,11/17/2018
