Date_home,Location_home,Team_home,OppTeam_home,TeamId_home,GameId_home,PercentBet_ML_home,Open_Line_ML_home,Pinnacle_ML_home,5dimes_ML_home,Heritage_ML_home,Bovada_ML_home,Betonline_ML_home,Average_Line_ML_home,Best_Line_ML_home,Worst_Line_ML_home,PercentBet_Spread_home,Open_Line_Spread_home,Open_Odds_Spread_home,Pinnacle_Line_Spread_home,Pinnacle_Odds_Spread_home,5dimes_Line_Spread_home,5dimes_Odds_Spread_home,Heritage_Line_Spread_home,Heritage_Odds_Spread_home,Bovada_Line_Spread_home,Bovada_Odds_Spread_home,Betonline_Line_Spread_home,Betonline_Odds_Spread_home,Average_Line_Spread_home,Average_Odds_Spread_home,Best_Line_Spread_home,Worst_Line_Spread_home,Best_Odds_Spread_home,Worst_Odds_Spread_home,PercentBet_OU_home,Open_Line_OU_home,Open_Odds_OU_home,Pinnacle_Line_OU_home,Pinnacle_Odds_OU_home,5dimes_Line_OU_home,5dimes_Odds_OU_home,Heritage_Line_OU_home,Heritage_Odds_OU_home,Bovada_Line_OU_home,Bovada_Odds_OU_home,Betonline_Line_OU_home,Betonline_Odds_OU_home,Average_Line_OU_home,Average_Odds_OU_home,Best_Line_OU_home,Worst_Line_OU_home,Best_Odds_OU_home,Worst_Odds_OU_home,Pts_home,Spread_home,Result_home,Total_home,playoffs_home,home_team_bin_home,team_abbv_home,game_code,Date_away,Location_away,Team_away,OppTeam_away,TeamId_away,GameId_away,PercentBet_ML_away,Open_Line_ML_away,Pinnacle_ML_away,5dimes_ML_away,Heritage_ML_away,Bovada_ML_away,Betonline_ML_away,Average_Line_ML_away,Best_Line_ML_away,Worst_Line_ML_away,PercentBet_Spread_away,Open_Line_Spread_away,Open_Odds_Spread_away,Pinnacle_Line_Spread_away,Pinnacle_Odds_Spread_away,5dimes_Line_Spread_away,5dimes_Odds_Spread_away,Heritage_Line_Spread_away,Heritage_Odds_Spread_away,Bovada_Line_Spread_away,Bovada_Odds_Spread_away,Betonline_Line_Spread_away,Betonline_Odds_Spread_away,Average_Line_Spread_away,Average_Odds_Spread_away,Best_Line_Spread_away,Worst_Line_Spread_away,Best_Odds_Spread_away,Worst_Odds_Spread_away,PercentBet_OU_away,Open_Line_OU_away,Open_Odds_OU_away,Pinnacle_Line_OU_away,Pinnacle_Odds_OU_away,5dimes_Line_OU_away,5dimes_Odds_OU_away,Heritage_Line_OU_away,Heritage_Odds_OU_away,Bovada_Line_OU_away,Bovada_Odds_OU_away,Betonline_Line_OU_away,Betonline_Odds_OU_away,Average_Line_OU_away,Average_Odds_OU_away,Best_Line_OU_away,Worst_Line_OU_away,Best_Odds_OU_away,Worst_Odds_OU_away,Pts_away,Spread_away,Result_away,Total_away,playoffs_away,home_team_bin_away,team_abbv_away
2017-11-06,home,Golden State,Miami,1610612744,21700148,35.3,-2000.0,-1150.0,-1175.0,-1345.0,-1300.0,-1200.0,-1234.0,-1150.0,-1345.0,50.6,-15.0,-110.0,-14.5,-104.0,-14.5,-103.0,-14.5,-105.0,-15.0,-105.0,-14.5,-108.0,-14.67,-105.83,-14.5,-15.0,-103.0,-110.0,92.6,224.5,-110.0,223.5,-101.0,223.5,-103.0,223.5,-105.0,224.0,-105.0,223.5,-109.0,223.75,-105.5,224.5,223.5,-101.0,-110.0,97.0,17.0,W,177.0,0,True,GSW,201711060GSW,2017-11-06,away,Miami,Golden State,1610612748,21700148,64.7,1175.0,858.0,975.0,945.0,725.0,825.0,865.6,975.0,725.0,49.4,15.0,-110.0,14.5,-106.0,14.5,-107.0,14.5,-105.0,15.0,-115.0,14.5,-112.0,14.67,-109.17,15.0,14.5,-105.0,-115.0,7.4,224.5,-110.0,223.5,-109.0,223.5,-107.0,223.5,-105.0,224.0,-115.0,223.5,-111.0,223.75,-109.5,224.5,223.5,-105.0,-115.0,80.0,-17.0,L,177.0,0,False,MIA
2017-11-06,home,Phoenix,Brooklyn,1610612756,21700147,55.2,-120.0,-103.0,103.0,-105.0,-105.0,-125.0,-67.0,103.0,-125.0,58.5,-1.0,-110.0,1.0,-110.0,1.0,-107.0,1.0,-105.0,1.0,-110.0,1.0,-110.0,0.67,-108.67,1.0,-1.0,-105.0,-110.0,100.0,236.0,-110.0,234.0,-106.0,234.0,-103.0,234.0,-105.0,234.0,-115.0,233.5,-110.0,234.25,-108.17,236.0,233.5,-103.0,-115.0,92.0,-6.0,L,190.0,0,True,PHO,201711060PHO,2017-11-06,away,Brooklyn,Phoenix,1610612751,21700147,44.8,100.0,-107.0,-113.0,-115.0,-115.0,105.0,-69.0,105.0,-115.0,41.5,1.0,-110.0,-1.0,-100.0,-1.0,-103.0,-1.0,-105.0,-1.0,-110.0,-1.0,-110.0,-0.67,-106.33,1.0,-1.0,-100.0,-110.0,0.0,236.0,-110.0,234.0,-104.0,234.0,-107.0,234.0,-105.0,234.0,-105.0,233.5,-110.0,234.25,-106.83,236.0,233.5,-104.0,-110.0,98.0,6.0,W,190.0,0,False,BRK
2017-11-06,home,Atlanta,Boston,1610612737,21700146,100.0,290.0,281.0,305.0,295.0,290.0,315.0,297.2,315.0,281.0,42.8,8.0,-110.0,7.5,-107.0,8.0,-109.0,8.0,-105.0,9.0,-115.0,8.0,-113.0,8.08,-109.83,9.0,7.5,-105.0,-115.0,88.9,204.0,-110.0,205.0,-110.0,204.5,-102.0,204.0,-105.0,204.0,-105.0,204.5,-110.0,204.33,-107.0,205.0,204.0,-102.0,-110.0,107.0,-3.0,L,217.0,0,True,ATL,201711060ATL,2017-11-06,away,Boston,Atlanta,1610612738,21700146,0.0,-350.0,-320.0,-335.0,-365.0,-380.0,-375.0,-355.0,-320.0,-380.0,57.2,-8.0,-110.0,-7.5,-103.0,-8.0,-101.0,-8.0,-105.0,-9.0,-105.0,-8.0,-107.0,-8.08,-105.17,-7.5,-9.0,-101.0,-110.0,11.1,204.0,-110.0,205.0,-100.0,204.5,-108.0,204.0,-105.0,204.0,-115.0,204.5,-110.0,204.33,-108.0,205.0,204.0,-100.0,-115.0,110.0,3.0,W,217.0,0,False,BOS
2017-11-05,home,L.A. Lakers,Memphis,1610612747,21700145,100.0,107.0,122.0,125.0,120.0,130.0,120.0,123.4,130.0,120.0,50.0,3.0,-110.0,2.5,-105.0,2.5,-105.0,2.5,-105.0,3.0,-110.0,2.5,-109.0,2.67,-107.33,3.0,2.5,-105.0,-110.0,58.6,208.0,-110.0,206.5,-103.0,206.5,-103.0,207.0,-105.0,207.0,-110.0,206.5,-110.0,206.92,-106.83,208.0,206.5,-103.0,-110.0,107.0,5.0,W,209.0,0,True,LAL,201711050LAL,2017-11-05,away,Memphis,L.A. Lakers,1610612763,21700145,0.0,-127.0,-135.0,-135.0,-140.0,-150.0,-140.0,-140.0,-135.0,-150.0,50.0,-3.0,-110.0,-2.5,-105.0,-2.5,-105.0,-2.5,-105.0,-3.0,-110.0,-2.5,-111.0,-2.67,-107.67,-2.5,-3.0,-105.0,-111.0,41.4,208.0,-110.0,206.5,-107.0,206.5,-107.0,207.0,-105.0,207.0,-110.0,206.5,-110.0,206.92,-108.17,208.0,206.5,-105.0,-110.0,102.0,-5.0,L,209.0,0,False,MEM
2017-11-05,home,Portland,Oklahoma City,1610612757,21700144,37.2,115.0,127.0,130.0,130.0,140.0,128.0,131.0,140.0,127.0,41.0,4.0,-110.0,3.0,-111.0,3.0,-107.0,3.0,-105.0,3.5,-110.0,3.0,-115.0,3.25,-109.67,4.0,3.0,-105.0,-115.0,37.8,208.0,-110.0,212.0,-104.0,212.0,-107.0,212.0,-105.0,212.0,-110.0,211.0,-105.0,211.17,-106.83,212.0,208.0,-104.0,-110.0,103.0,4.0,W,202.0,0,True,POR,201711050POR,2017-11-05,away,Oklahoma City,Portland,1610612760,21700144,62.8,-135.0,-140.0,-140.0,-150.0,-160.0,-148.0,-147.6,-140.0,-160.0,59.0,-4.0,-110.0,-3.0,-101.0,-3.0,-103.0,-3.0,-105.0,-3.5,-110.0,-3.0,-105.0,-3.25,-105.67,-3.0,-4.0,-101.0,-110.0,62.2,208.0,-110.0,212.0,-106.0,212.0,-103.0,212.0,-105.0,212.0,-110.0,211.0,-125.0,211.17,-109.83,212.0,208.0,-103.0,-125.0,99.0,-4.0,L,202.0,0,False,OKC
2017-11-05,home,Minnesota,Charlotte,1610612750,21700143,100.0,-215.0,-202.0,-210.0,-210.0,-200.0,-195.0,-203.4,-195.0,-210.0,61.9,-5.5,-110.0,-5.0,-113.0,-5.5,-103.0,-5.5,-105.0,-5.0,-105.0,-5.0,-115.0,-5.25,-108.5,-5.0,-5.5,-103.0,-115.0,100.0,215.5,-110.0,218.5,-110.0,218.0,-105.0,218.0,-105.0,218.0,-110.0,218.0,-110.0,217.67,-108.33,218.5,215.5,-105.0,-110.0,112.0,18.0,W,206.0,0,True,MIN,201711050MIN,2017-11-05,away,Charlotte,Minnesota,1610612766,21700143,0.0,185.0,181.0,190.0,180.0,170.0,170.0,178.2,190.0,170.0,38.1,5.5,-110.0,5.0,-102.0,5.5,-107.0,5.5,-105.0,5.0,-115.0,5.0,-105.0,5.25,-107.33,5.5,5.0,-102.0,-115.0,0.0,215.5,-110.0,218.5,-100.0,218.0,-105.0,218.0,-105.0,218.0,-110.0,218.0,-110.0,217.67,-106.67,218.5,215.5,-100.0,-110.0,94.0,-18.0,L,206.0,0,False,CHO
2017-11-05,home,New York,Indiana,1610612752,21700142,53.3,-125.0,101.0,102.0,-110.0,-105.0,-113.0,-25.0,102.0,-113.0,48.9,-3.0,-110.0,1.0,-104.0,1.0,-105.0,1.0,-110.0,1.0,-110.0,1.0,-108.0,0.33,-107.83,1.0,-3.0,-104.0,-110.0,45.2,217.0,-110.0,216.0,-102.0,216.0,-105.0,216.0,-105.0,216.0,-105.0,216.0,-110.0,216.17,-106.17,217.0,216.0,-102.0,-110.0,108.0,7.0,W,209.0,0,True,NYK,201711050NYK,2017-11-05,away,Indiana,New York,1610612754,21700142,46.7,105.0,-111.0,-112.0,-110.0,-115.0,-107.0,-111.0,-107.0,-115.0,51.1,3.0,-110.0,-1.0,-106.0,-1.0,-105.0,-1.0,-100.0,-1.0,-110.0,-1.0,-112.0,-0.33,-107.17,3.0,-1.0,-100.0,-112.0,54.8,217.0,-110.0,216.0,-108.0,216.0,-105.0,216.0,-105.0,216.0,-115.0,216.0,-110.0,216.17,-108.83,217.0,216.0,-105.0,-115.0,101.0,-7.0,L,209.0,0,False,IND
2017-11-05,home,San Antonio,Phoenix,1610612759,21700141,36.4,-600.0,-432.0,-440.0,-515.0,-500.0,-440.0,-465.4,-432.0,-515.0,54.1,-10.0,-110.0,-9.5,-100.0,-9.5,-103.0,-9.5,-105.0,-9.5,-110.0,-9.5,-105.0,-9.58,-105.5,-9.5,-10.0,-100.0,-110.0,100.0,215.5,-110.0,211.5,-110.0,211.5,-108.0,211.5,-105.0,212.0,-115.0,211.5,-115.0,212.25,-110.5,215.5,211.5,-105.0,-115.0,112.0,17.0,W,207.0,0,True,SAS,201711050SAS,2017-11-05,away,Phoenix,San Antonio,1610612756,21700141,63.6,475.0,371.0,390.0,390.0,350.0,370.0,374.2,390.0,350.0,45.9,10.0,-110.0,9.5,-110.0,9.5,-107.0,9.5,-105.0,9.5,-110.0,9.5,-115.0,9.58,-109.5,10.0,9.5,-105.0,-115.0,0.0,215.5,-110.0,211.5,-100.0,211.5,-102.0,211.5,-105.0,212.0,-105.0,211.5,-105.0,212.25,-104.5,215.5,211.5,-100.0,-110.0,95.0,-17.0,L,207.0,0,False,PHO
2017-11-05,home,Houston,Utah,1610612745,21700140,100.0,-255.0,-225.0,-220.0,-245.0,-240.0,-225.0,-231.0,-220.0,-245.0,100.0,-6.5,-110.0,-6.5,-102.0,-6.0,-108.0,-6.0,-105.0,-6.5,-110.0,-6.5,-105.0,-6.33,-106.67,-6.0,-6.5,-102.0,-110.0,34.1,202.0,-110.0,205.0,-108.0,205.0,-105.0,205.5,-105.0,205.0,-115.0,205.0,-110.0,204.58,-108.83,205.5,202.0,-105.0,-115.0,137.0,27.0,W,247.0,0,True,HOU,201711050HOU,2017-11-05,away,Utah,Houston,1610612762,21700140,0.0,215.0,201.0,200.0,205.0,200.0,195.0,200.2,205.0,195.0,0.0,6.5,-110.0,6.5,-113.0,6.0,-102.0,6.0,-105.0,6.5,-110.0,6.5,-115.0,6.33,-109.17,6.5,6.0,-102.0,-115.0,65.9,202.0,-110.0,205.0,-102.0,205.0,-105.0,205.5,-105.0,205.0,-105.0,205.0,-110.0,204.58,-106.17,205.5,202.0,-102.0,-110.0,110.0,-27.0,L,247.0,0,False,UTA
2017-11-05,home,Toronto,Washington,1610612761,21700139,61.7,-210.0,-250.0,-250.0,-270.0,-265.0,-250.0,-257.0,-250.0,-270.0,53.0,-5.0,-110.0,-6.5,-103.0,-6.5,-103.0,-6.5,-105.0,-6.5,-110.0,-6.5,-110.0,-6.25,-106.83,-5.0,-6.5,-103.0,-110.0,89.5,218.0,-110.0,213.5,-105.0,213.5,-108.0,213.5,-105.0,214.0,-115.0,213.5,-110.0,214.33,-108.83,218.0,213.5,-105.0,-115.0,96.0,-11.0,L,203.0,0,True,TOR,201711050TOR,2017-11-05,away,Washington,Toronto,1610612764,21700139,38.3,180.0,222.0,230.0,220.0,225.0,210.0,221.4,230.0,210.0,47.0,5.0,-110.0,6.5,-107.0,6.5,-107.0,6.5,-105.0,6.5,-110.0,6.5,-110.0,6.25,-108.17,6.5,5.0,-105.0,-110.0,10.5,218.0,-110.0,213.5,-105.0,213.5,-102.0,213.5,-105.0,214.0,-105.0,213.5,-110.0,214.33,-106.17,218.0,213.5,-102.0,-110.0,107.0,11.0,W,203.0,0,False,WAS
